20:4C:9E:EA:11:D0,88:F0:77:FD:F9:42,20:4C:9E:EA:11:D9,88:F0:77:FD:E3:09,78:0C:F0:34:74:D2,00:41:D2:C1:C1:39,20:4C:9E:EA:11:D2,C2:2B:F9:8D:63:ED,location,00:41:D2:C1:C1:30,E8:BA:70:60:1A:F2,00:57:D2:4B:BB:E9,88:F0:77:FD:DB:40,78:0C:F0:34:74:D0,88:F0:77:FD:E9:52,E8:BA:70:60:1A:F0,88:F0:77:FD:CF:00,88:F0:77:FC:EF:42,88:F0:77:FD:CF:02,00:57:D2:4B:BB:E0,88:F0:77:FD:DB:49,E8:BA:70:60:1A:F9,88:F0:77:FD:DB:42,00:41:D2:C1:B7:A0,88:F0:77:FD:CF:09,00:57:D2:4B:BB:E2,00:41:D2:C1:B7:A2,88:F0:77:FD:F9:02,00:41:D2:C1:C1:32,88:F0:77:FD:F9:09,00:57:D2:4B:AC:22,88:F0:77:FD:C7:F9,00:57:D2:4B:AC:29,88:F0:77:FC:EF:49,E8:ED:F3:1A:8D:39,88:F0:77:FD:C7:F2,88:F0:77:FC:EF:40,34:BD:C8:48:9B:49,34:BD:C8:48:9B:42,34:BD:C8:48:9B:40,88:F0:77:FD:A6:02,88:F0:77:FD:A6:09,E4:95:6E:40:2B:2D,88:F0:77:FD:A6:00,88:F0:77:FD:EE:D2,88:F0:77:FD:EE:D9,00:DA:55:72:48:82,00:DA:55:51:CC:B2,88:F0:77:FD:EE:D0,00:DA:55:51:B6:E0,00:DA:55:72:43:80,88:F0:77:FD:8B:12,00:DA:55:51:C7:09,00:DA:55:72:48:80,00:DA:55:50:B7:12,00:DA:55:72:48:89,00:DA:55:51:C7:02,00:DA:55:51:CC:B9,00:DA:55:51:C7:00,88:F0:77:FD:8B:19,78:0C:F0:34:74:D9,88:F0:77:FD:F9:00,00:DA:55:50:C0:10,00:DA:55:50:C0:12,00:DA:55:50:C0:19,88:F0:77:FD:AB:29,88:F0:77:FD:AB:22,88:F0:77:FD:AB:20,E8:ED:F3:1A:8D:32,88:F0:77:FD:C7:F0,88:F0:77:FD:E3:02,88:F0:77:FD:E3:00
-76.0,-91.0,-75.0,-89.0,-76.0,-86.0,-75.0,2.0,sci02B1,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-49.0,sci02A2,,-57.0,-56.0,-61.0,-86.0,-88.0,-56.0,-62.0,-78.0,-63.0,-56.0,-61.0,-56.0,-61.0,-73.0,-62.0,-57.0,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-81.0,,,-72.0,-81.0,-2.0,darajA,-72.0,,,,,,,,,,,,,,,,,,-88.0,-72.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-73.0,,,,-73.0,-57.0,entreeB2,-81.0,-49.0,,-53.0,,,-49.0,-82.0,-69.0,,,-50.0,-47.0,-52.0,,,,-72.0,,,-86.0,-88.0,-83.0,-89.0,-68.0,-85.0,-82.0,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-64.0,,-64.0,,,-72.0,-65.0,-66.0,entreeB1,-70.0,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.0,,-60.0,,,,-57.0,-73.0,entreeA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-65.0,,-3.0,couloirB1,-65.0,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,-65.0,-62.0,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-46.0,sci01A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.0,-49.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-69.0,,-4.0,couloirA1,-71.0,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,-58.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-70.0,,-36.0,couloirA1,-67.0,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,-60.0,-59.0,-61.0,-80.0,-79.0,-79.0,-79.0,-82.0,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-54.0,,-44.0,couloirB2,-53.0,,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,-60.0,-63.0,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
